id,step,entry,delta
94,step-inject-buildpacks,./tomljson /tmp_builder/order.toml ,16.3789
95,step-inject-buildpacks,"type==""object"" and (.group|length)==2 and .group[0].id==""heroku/nodejs"" then empty else . end)'",16.379
96,step-inject-buildpacks,./jsontoml ,16.3798
97,step-inject-buildpacks,/tmp_builder/order.toml,16.3839
98,step-inject-buildpacks,/tmp_builder/order.toml,16.3855
99,step-inject-buildpacks,/tmp/tmp.EmaHIO,16.3868
100,step-inject-buildpacks,cat ,16.3881
101,step-inject-buildpacks,/tmp_builder/order.toml,16.3894
102,step-inject-buildpacks,local buildpacks_dir=/tmp_builder/buildpacks ,16.3895
103,step-inject-buildpacks,local order_toml=/tmp_builder/order.toml ,16.3902
104,step-inject-buildpacks,/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/,16.3902
105,step-inject-buildpacks,local url=https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,16.3904
106,step-inject-buildpacks,local dest_dir=/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/ ,16.3904
107,step-inject-buildpacks,local tmpdir ,16.3904
108,step-inject-buildpacks,mktemp -d ,16.3915
109,step-inject-buildpacks,tmpdir=/tmp/tmp.pJBfIB ,16.3924
110,step-inject-buildpacks,cd /tmp/tmp.pJBfIB ,16.3926
111,step-inject-buildpacks,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,16.393
112,step-inject-buildpacks,(208.80.153.8:443),16.3948
113,step-inject-buildpacks,to 'dotnetcore-buildpack-move_to_api_0.10.zip' ,17.1642
114,step-inject-buildpacks,|***************                 |  884k  0:00:01 ETA,18.0211
115,step-inject-buildpacks,1810k  0:00:00 ETA,18.1669
116,step-inject-buildpacks,saved ,18.1673
117,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10.zip,18.1692
118,step-inject-buildpacks, dotnetcore-buildpack-move_to_api_0.10.zip ,18.1729
119,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/,18.2317
120,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/.gitattributes,18.2317
121,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/.github/,18.2317
122,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/.github/workflows/,18.2317
123,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/.github/workflows/main.yml,18.2317
124,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/bin/,18.2317
125,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/bin/build,18.2317
126,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/bin/detect,18.2317
127,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/bin/exports,18.2317
128,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/bin/release,18.2317
129,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/buildpack.toml,18.2317
130,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/package.toml,18.2317
131,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/,18.2317
132,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/.gitattributes,18.2317
133,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/,18.2317
134,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/,18.2338
135,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/main.yml,18.2338
136,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/.gitignore,18.2338
137,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/CHANGELOG.md,18.2338
138,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/CODE_OF_CONDUCT.md,18.2338
139,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/LICENSE,18.2338
140,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/Makefile,18.2338
141,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/README.md,18.2338
142,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/bin/,18.2338
143,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/bin/compile,18.2338
144,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/bin/detect,18.2338
145,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/bin/release,18.2338
146,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/lib/,18.2338
147,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/lib/utils,18.2338
148,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/profile/,18.2338
149,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/profile/aspnetcore-defaults.sh,18.2344
150,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/,18.2344
151,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/,18.2344
152,step-inject-buildpacks,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/,18.2344
153,step-inject-buildpacks,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Procfile,18.2344
