id,step,timestamp,entry,delta
62,step-inject-buildpacks,2024-01-18T09:58:52.642789,- https://github.com/pelletier/go-toml/releases/download/v2.1.1/tomljson_2.1.1_linux_amd64.tar.xz,14.6866
63,step-inject-buildpacks,2024-01-18T09:58:52.642806,tar xvJ ,14.6867
64,step-inject-buildpacks,2024-01-18T09:58:52.645505,(140.82.121.3:443),14.6894
65,step-inject-buildpacks,2024-01-18T09:58:52.925530,(185.199.111.133:443),14.9694
66,step-inject-buildpacks,2024-01-18T09:58:53.338418,to stdout ,15.3823
67,step-inject-buildpacks,2024-01-18T09:58:53.341472,,15.3853
68,step-inject-buildpacks,2024-01-18T09:58:53.462178,100% |********************************| 1597k  0:00:00 ETA,15.5060
69,step-inject-buildpacks,2024-01-18T09:58:53.462195,to stdout ,15.5060
70,step-inject-buildpacks,2024-01-18T09:58:53.469342,jq https://github.com/jqlang/jq/releases/download/jq-1.7.1/jq-linux-amd64,15.5132
71,step-inject-buildpacks,2024-01-18T09:58:53.470728,(140.82.121.3:443),15.5146
72,step-inject-buildpacks,2024-01-18T09:58:53.746426,(185.199.111.133:443),15.7903
73,step-inject-buildpacks,2024-01-18T09:58:54.276889,to 'jq' ,16.3207
74,step-inject-buildpacks,2024-01-18T09:58:54.322387,100% |********************************| 2265k  0:00:00 ETA,16.3662
75,step-inject-buildpacks,2024-01-18T09:58:54.322417,saved ,16.3663
76,step-inject-buildpacks,2024-01-18T09:58:54.322720,jq,16.3666
77,step-inject-buildpacks,2024-01-18T09:58:54.325094,/tmp_builder/order.toml,16.3689
78,step-inject-buildpacks,2024-01-18T09:58:54.325152,local buildpacks_dir=/tmp_builder/buildpacks ,16.3690
79,step-inject-buildpacks,2024-01-18T09:58:54.325161,local order_toml=/tmp_builder/order.toml ,16.3690
80,step-inject-buildpacks,2024-01-18T09:58:54.325167,local version ,16.3690
81,step-inject-buildpacks,2024-01-18T09:58:54.326284,ls /tmp_builder/buildpacks/heroku_nodejs ,16.3701
82,step-inject-buildpacks,2024-01-18T09:58:54.327635,version=2.5.0 ,16.3715
83,step-inject-buildpacks,2024-01-18T09:58:54.327783,local procfile_version ,16.3716
84,step-inject-buildpacks,2024-01-18T09:58:54.328980,ls /tmp_builder/buildpacks/heroku_procfile ,16.3728
85,step-inject-buildpacks,2024-01-18T09:58:54.330297,procfile_version=2.0.2 ,16.3742
86,step-inject-buildpacks,2024-01-18T09:58:54.330481,heroku/nodejs 2,16.3743
87,step-inject-buildpacks,2024-01-18T09:58:54.330940,local toml_file=/tmp_builder/order.toml ,16.3748
88,step-inject-buildpacks,2024-01-18T09:58:54.331386,local id=heroku/nodejs ,16.3752
89,step-inject-buildpacks,2024-01-18T09:58:54.331405,local expected_length=2 ,16.3753
90,step-inject-buildpacks,2024-01-18T09:58:54.331855,local tmpdir ,16.3757
91,step-inject-buildpacks,2024-01-18T09:58:54.332845,mktemp -d ,16.3767
92,step-inject-buildpacks,2024-01-18T09:58:54.333996,tmpdir=/tmp/tmp.EmaHIO ,16.3778
93,step-inject-buildpacks,2024-01-18T09:58:54.334123,local tmp_toml=/tmp/tmp.EmaHIO/tmp.toml ,16.3780
94,step-inject-buildpacks,2024-01-18T09:58:54.335092,./tomljson /tmp_builder/order.toml ,16.3789
95,step-inject-buildpacks,2024-01-18T09:58:54.335123,"type==""object"" and (.group|length)==2 and .group[0].id==""heroku/nodejs"" then empty else . end)'",16.3790
96,step-inject-buildpacks,2024-01-18T09:58:54.335980,./jsontoml ,16.3798
97,step-inject-buildpacks,2024-01-18T09:58:54.340027,/tmp_builder/order.toml,16.3839
98,step-inject-buildpacks,2024-01-18T09:58:54.341602,/tmp_builder/order.toml,16.3855
99,step-inject-buildpacks,2024-01-18T09:58:54.342941,/tmp/tmp.EmaHIO,16.3868
100,step-inject-buildpacks,2024-01-18T09:58:54.344270,cat ,16.3881
101,step-inject-buildpacks,2024-01-18T09:58:54.345534,/tmp_builder/order.toml,16.3894
102,step-inject-buildpacks,2024-01-18T09:58:54.345607,local buildpacks_dir=/tmp_builder/buildpacks ,16.3895
103,step-inject-buildpacks,2024-01-18T09:58:54.346352,local order_toml=/tmp_builder/order.toml ,16.3902
104,step-inject-buildpacks,2024-01-18T09:58:54.346381,/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/,16.3902
105,step-inject-buildpacks,2024-01-18T09:58:54.346530,local url=https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,16.3904
106,step-inject-buildpacks,2024-01-18T09:58:54.346542,local dest_dir=/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/ ,16.3904
107,step-inject-buildpacks,2024-01-18T09:58:54.346545,local tmpdir ,16.3904
108,step-inject-buildpacks,2024-01-18T09:58:54.347662,mktemp -d ,16.3915
109,step-inject-buildpacks,2024-01-18T09:58:54.348540,tmpdir=/tmp/tmp.pJBfIB ,16.3924
110,step-inject-buildpacks,2024-01-18T09:58:54.348700,cd /tmp/tmp.pJBfIB ,16.3926
