id,step,timestamp,entry,delta
62,step-inject-buildpacks,2024-01-18T09:00:02.927916,- https://github.com/pelletier/go-toml/releases/download/v2.1.1/tomljson_2.1.1_linux_amd64.tar.xz,0.0047
63,step-inject-buildpacks,2024-01-18T09:00:02.928008,tar xvJ ,0.0001
64,step-inject-buildpacks,2024-01-18T09:00:03.931538,(140.82.121.4:443),1.0035
65,step-inject-buildpacks,2024-01-18T09:00:05.223014,(185.199.108.133:443),1.2915
66,step-inject-buildpacks,2024-01-18T09:00:05.759973,to stdout ,0.5370
67,step-inject-buildpacks,2024-01-18T09:00:05.763754,,0.0038
68,step-inject-buildpacks,2024-01-18T09:00:05.849416,100% |********************************| 1597k  0:00:00 ETA,0.0857
69,step-inject-buildpacks,2024-01-18T09:00:05.849438,to stdout ,0.0000
70,step-inject-buildpacks,2024-01-18T09:00:05.853869,jq https://github.com/jqlang/jq/releases/download/jq-1.7.1/jq-linux-amd64,0.0044
71,step-inject-buildpacks,2024-01-18T09:00:05.856131,(140.82.121.4:443),0.0023
72,step-inject-buildpacks,2024-01-18T09:00:06.118061,(185.199.108.133:443),0.2619
73,step-inject-buildpacks,2024-01-18T09:00:06.704586,to 'jq' ,0.5865
74,step-inject-buildpacks,2024-01-18T09:00:06.737948,100% |********************************| 2265k  0:00:00 ETA,0.0334
75,step-inject-buildpacks,2024-01-18T09:00:06.737980,saved ,0.0000
76,step-inject-buildpacks,2024-01-18T09:00:06.739456,jq,0.0015
77,step-inject-buildpacks,2024-01-18T09:00:06.741575,/tmp_builder/order.toml,0.0021
78,step-inject-buildpacks,2024-01-18T09:00:06.741659,local buildpacks_dir=/tmp_builder/buildpacks ,0.0001
79,step-inject-buildpacks,2024-01-18T09:00:06.741735,local order_toml=/tmp_builder/order.toml ,0.0001
80,step-inject-buildpacks,2024-01-18T09:00:06.741749,local version ,0.0000
81,step-inject-buildpacks,2024-01-18T09:00:06.743144,ls /tmp_builder/buildpacks/heroku_nodejs ,0.0014
82,step-inject-buildpacks,2024-01-18T09:00:06.744128,version=2.5.0 ,0.0010
83,step-inject-buildpacks,2024-01-18T09:00:06.744147,local procfile_version ,0.0000
84,step-inject-buildpacks,2024-01-18T09:00:06.744762,ls /tmp_builder/buildpacks/heroku_procfile ,0.0006
85,step-inject-buildpacks,2024-01-18T09:00:06.745556,procfile_version=2.0.2 ,0.0008
86,step-inject-buildpacks,2024-01-18T09:00:06.745580,heroku/nodejs 2,0.0000
87,step-inject-buildpacks,2024-01-18T09:00:06.745744,local toml_file=/tmp_builder/order.toml ,0.0002
88,step-inject-buildpacks,2024-01-18T09:00:06.745766,local id=heroku/nodejs ,0.0000
89,step-inject-buildpacks,2024-01-18T09:00:06.745771,local expected_length=2 ,0.0000
90,step-inject-buildpacks,2024-01-18T09:00:06.745775,local tmpdir ,0.0000
91,step-inject-buildpacks,2024-01-18T09:00:06.746147,mktemp -d ,0.0004
92,step-inject-buildpacks,2024-01-18T09:00:06.747045,tmpdir=/tmp/tmp.AiHHki ,0.0009
93,step-inject-buildpacks,2024-01-18T09:00:06.747068,local tmp_toml=/tmp/tmp.AiHHki/tmp.toml ,0.0000
94,step-inject-buildpacks,2024-01-18T09:00:06.747959,./jsontoml ,0.0009
95,step-inject-buildpacks,2024-01-18T09:00:06.748391,"type==""object"" and (.group|length)==2 and .group[0].id==""heroku/nodejs"" then empty else . end)'",0.0004
96,step-inject-buildpacks,2024-01-18T09:00:06.750879,./tomljson /tmp_builder/order.toml ,0.0025
97,step-inject-buildpacks,2024-01-18T09:00:06.755091,/tmp_builder/order.toml,0.0042
98,step-inject-buildpacks,2024-01-18T09:00:06.755851,/tmp_builder/order.toml,0.0008
99,step-inject-buildpacks,2024-01-18T09:00:06.756762,/tmp/tmp.AiHHki,0.0009
100,step-inject-buildpacks,2024-01-18T09:00:06.757476,cat ,0.0007
101,step-inject-buildpacks,2024-01-18T09:00:06.758470,/tmp_builder/order.toml,0.0010
102,step-inject-buildpacks,2024-01-18T09:00:06.758485,local buildpacks_dir=/tmp_builder/buildpacks ,0.0000
103,step-inject-buildpacks,2024-01-18T09:00:06.758674,local order_toml=/tmp_builder/order.toml ,0.0002
104,step-inject-buildpacks,2024-01-18T09:00:06.758687,/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/,0.0000
105,step-inject-buildpacks,2024-01-18T09:00:06.758694,local url=https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,0.0000
106,step-inject-buildpacks,2024-01-18T09:00:06.758702,local dest_dir=/tmp_builder/buildpacks/jincod_dotnetcore-buildpack/7.0.401/ ,0.0000
107,step-inject-buildpacks,2024-01-18T09:00:06.758705,local tmpdir ,0.0000
108,step-inject-buildpacks,2024-01-18T09:00:06.759205,mktemp -d ,0.0005
109,step-inject-buildpacks,2024-01-18T09:00:06.759957,tmpdir=/tmp/tmp.MDEGHh ,0.0008
110,step-inject-buildpacks,2024-01-18T09:00:06.760291,cd /tmp/tmp.MDEGHh ,0.0003
111,step-inject-buildpacks,2024-01-18T09:00:06.760304,wget https://gitlab.wikimedia.org/repos/cloud/toolforge/buildpacks/dotnetcore-buildpack/-/archive/move_to_api_0.10/dotnetcore-buildpack-move_to_api_0.10.zip ,0.0000
112,step-inject-buildpacks,2024-01-18T09:00:07.764437,(208.80.153.8:443),1.0041
113,step-inject-buildpacks,2024-01-18T09:00:08.631678,to 'dotnetcore-buildpack-move_to_api_0.10.zip' ,0.8672
114,step-inject-buildpacks,2024-01-18T09:00:09.733208,1810k  0:00:00 ETA,1.1015
115,step-inject-buildpacks,2024-01-18T09:00:09.733288,saved ,0.0001
116,step-inject-buildpacks,2024-01-18T09:00:09.735938,dotnetcore-buildpack-move_to_api_0.10.zip,0.0027
117,step-inject-buildpacks,2024-01-18T09:00:09.739728, dotnetcore-buildpack-move_to_api_0.10.zip ,0.0038
118,step-inject-buildpacks,2024-01-18T09:00:09.796245,creating: dotnetcore-buildpack-move_to_api_0.10/,0.0565
119,step-inject-buildpacks,2024-01-18T09:00:09.796265,dotnetcore-buildpack-move_to_api_0.10/.gitattributes,0.0000
120,step-inject-buildpacks,2024-01-18T09:00:09.796270,creating: dotnetcore-buildpack-move_to_api_0.10/.github/,0.0000
121,step-inject-buildpacks,2024-01-18T09:00:09.796274,creating: dotnetcore-buildpack-move_to_api_0.10/.github/workflows/,0.0000
122,step-inject-buildpacks,2024-01-18T09:00:09.796279,dotnetcore-buildpack-move_to_api_0.10/.github/workflows/main.yml,0.0000
123,step-inject-buildpacks,2024-01-18T09:00:09.796283,creating: dotnetcore-buildpack-move_to_api_0.10/bin/,0.0000
124,step-inject-buildpacks,2024-01-18T09:00:09.796287,dotnetcore-buildpack-move_to_api_0.10/bin/build,0.0000
125,step-inject-buildpacks,2024-01-18T09:00:09.796291,dotnetcore-buildpack-move_to_api_0.10/bin/detect,0.0000
126,step-inject-buildpacks,2024-01-18T09:00:09.796295,dotnetcore-buildpack-move_to_api_0.10/bin/exports,0.0000
127,step-inject-buildpacks,2024-01-18T09:00:09.796299,dotnetcore-buildpack-move_to_api_0.10/bin/release,0.0000
128,step-inject-buildpacks,2024-01-18T09:00:09.796304,dotnetcore-buildpack-move_to_api_0.10/buildpack.toml,0.0000
129,step-inject-buildpacks,2024-01-18T09:00:09.796307,dotnetcore-buildpack-move_to_api_0.10/package.toml,0.0000
130,step-inject-buildpacks,2024-01-18T09:00:09.796311,creating: dotnetcore-buildpack-move_to_api_0.10/target/,0.0000
131,step-inject-buildpacks,2024-01-18T09:00:09.796315,dotnetcore-buildpack-move_to_api_0.10/target/.gitattributes,0.0000
132,step-inject-buildpacks,2024-01-18T09:00:09.796318,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/,0.0000
133,step-inject-buildpacks,2024-01-18T09:00:09.797555,creating: dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/,0.0012
134,step-inject-buildpacks,2024-01-18T09:00:09.797646,dotnetcore-buildpack-move_to_api_0.10/target/.github/workflows/main.yml,0.0001
135,step-inject-buildpacks,2024-01-18T09:00:09.797903,dotnetcore-buildpack-move_to_api_0.10/target/.gitignore,0.0003
136,step-inject-buildpacks,2024-01-18T09:00:09.797917,dotnetcore-buildpack-move_to_api_0.10/target/CHANGELOG.md,0.0000
137,step-inject-buildpacks,2024-01-18T09:00:09.797921,dotnetcore-buildpack-move_to_api_0.10/target/CODE_OF_CONDUCT.md,0.0000
138,step-inject-buildpacks,2024-01-18T09:00:09.797923,dotnetcore-buildpack-move_to_api_0.10/target/LICENSE,0.0000
139,step-inject-buildpacks,2024-01-18T09:00:09.797925,dotnetcore-buildpack-move_to_api_0.10/target/Makefile,0.0000
140,step-inject-buildpacks,2024-01-18T09:00:09.797927,dotnetcore-buildpack-move_to_api_0.10/target/README.md,0.0000
141,step-inject-buildpacks,2024-01-18T09:00:09.797930,creating: dotnetcore-buildpack-move_to_api_0.10/target/bin/,0.0000
142,step-inject-buildpacks,2024-01-18T09:00:09.797932,dotnetcore-buildpack-move_to_api_0.10/target/bin/compile,0.0000
143,step-inject-buildpacks,2024-01-18T09:00:09.797934,dotnetcore-buildpack-move_to_api_0.10/target/bin/detect,0.0000
144,step-inject-buildpacks,2024-01-18T09:00:09.797936,dotnetcore-buildpack-move_to_api_0.10/target/bin/release,0.0000
145,step-inject-buildpacks,2024-01-18T09:00:09.797939,creating: dotnetcore-buildpack-move_to_api_0.10/target/lib/,0.0000
146,step-inject-buildpacks,2024-01-18T09:00:09.797941,dotnetcore-buildpack-move_to_api_0.10/target/lib/utils,0.0000
147,step-inject-buildpacks,2024-01-18T09:00:09.797943,creating: dotnetcore-buildpack-move_to_api_0.10/target/profile/,0.0000
148,step-inject-buildpacks,2024-01-18T09:00:09.798643,dotnetcore-buildpack-move_to_api_0.10/target/profile/aspnetcore-defaults.sh,0.0007
149,step-inject-buildpacks,2024-01-18T09:00:09.798656,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/,0.0000
150,step-inject-buildpacks,2024-01-18T09:00:09.798659,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/,0.0000
151,step-inject-buildpacks,2024-01-18T09:00:09.798662,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/,0.0000
152,step-inject-buildpacks,2024-01-18T09:00:09.798664,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Procfile,0.0000
153,step-inject-buildpacks,2024-01-18T09:00:09.798666,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Program.cs,0.0000
154,step-inject-buildpacks,2024-01-18T09:00:09.798668,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Startup.cs,0.0000
155,step-inject-buildpacks,2024-01-18T09:00:09.798671,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/custom-procfile/Web.csproj,0.0000
156,step-inject-buildpacks,2024-01-18T09:00:09.798673,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/,0.0000
157,step-inject-buildpacks,2024-01-18T09:00:09.798675,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/Program.cs,0.0000
158,step-inject-buildpacks,2024-01-18T09:00:09.798677,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/Startup.cs,0.0000
159,step-inject-buildpacks,2024-01-18T09:00:09.798680,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnet-6.0/dotnet-6.0.csproj,0.0000
160,step-inject-buildpacks,2024-01-18T09:00:09.799692,creating: dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/,0.0010
161,step-inject-buildpacks,2024-01-18T09:00:09.799703,dotnetcore-buildpack-move_to_api_0.10/target/test/fixtures/dotnetcore-2.1/Program.cs,0.0000
